@,B,D,$,F,&,G,I,L,M,N,O,Q,U,V,Y,~,
DE0008474503,,11.12.98,,EUR,2,1.000000,59.169,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.674000,39.88,11.12.98,DekaFonds CF,847450,
DE0008474503,,11.13.98,,EUR,2,1.000000,59.169,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.674000,39.88,11.13.98,DekaFonds CF,847450,
DE0008474503,,12.14.98,,EUR,2,1.000000,58.389,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.683000,39.88,12.14.98,DekaFonds CF,847450,
DE0008474503,,1.14.99,,EUR,2,1.000000,64.157,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.534000,34.26,1.14.99,DekaFonds CF,847450,
DE0008474503,,2.12.99,,EUR,2,1.000000,64.037,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.535000,34.26,2.12.99,DekaFonds CF,847450,
DE0008474503,,2.22.99,,EUR,2,1.000000,58.514,Kapitalertr�ge:sonstige Einnahme|,,OthrInc,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.074000,4.33,2.22.99,DekaFonds CF,847450,
DE0009771923,,2.23.99,,EUR,2,1.000000,73.095,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.399000,102.26,2.23.99,Deka-TeleMedien TF,977192,
DE0008474503,,3.12.99,,EUR,2,1.000000,62.862,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.545000,34.26,3.12.99,DekaFonds CF,847450,
DE0009771923,,4.6.99,,EUR,2,1.000000,78.520,,,WP-Entnahme,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.399000,,4.6.99,Deka-TeleMedien TF,977192,
DE0008474503,,4.14.99,,EUR,2,1.000000,65.257,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.525000,34.26,4.14.99,DekaFonds CF,847450,
DE0008474503,,5.12.99,,EUR,2,1.000000,66.914,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.512000,34.26,5.12.99,DekaFonds CF,847450,
DE0008474503,,6.16.99,,EUR,2,1.000000,67.976,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.504000,34.26,6.16.99,DekaFonds CF,847450,
DE0008474503,,7.14.99,,EUR,2,1.000000,72.739,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.471000,34.26,7.14.99,DekaFonds CF,847450,
DE0008474503,,8.12.99,,EUR,2,1.000000,66.784,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.513000,34.26,8.12.99,DekaFonds CF,847450,
DE0008474503,,9.14.99,,EUR,2,1.000000,70.785,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.484000,34.26,9.14.99,DekaFonds CF,847450,
IE0004907972,,9.15.99,,EUR,0,1.000000,44.192,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.157000,51.13,9.15.99,DekaTeam-EmergingMarkets CF,987887,
DE0008474503,,10.14.99,,EUR,2,1.000000,67.976,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.504000,34.26,10.14.99,DekaFonds CF,847450,
DE0009771923,,10.15.99,,EUR,2,1.000000,80.774,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.633000,51.13,10.15.99,Deka-TeleMedien TF,977192,
DE0009786285,,10.25.99,,EUR,2,1.000000,40.628,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,2.517000,102.26,10.25.99,Deka-EuropaPotential TF,978628,
DE0009786285,,11.11.99,,EUR,2,1.000000,46.582,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,2.744000,127.82,11.11.99,Deka-EuropaPotential TF,978628,
