@,B,D,$,E,F,&,G,I,L,M,N,O,Q,U,V,Y,~,
LU0124427344,,7.22.02,,,EUR,2,1.000000,43.430,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.983000,42.69,7.22.02,DekaStruktur: 3 Wachstum,554002,
DE0005296503,,10.25.02,,,EUR,1,1.000000,5.050,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,3.000000,15.15,10.25.02,Combots AG Inhaber-Aktien,,
LU0124427344,,4.17.03,1.14,,EUR,2,1.000000,,|[SBroker (H)],,Payout,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,1.14,4.17.03,DekaStruktur: 3 Wachstum,554002,
DE0005296503,,10.30.03,,,EUR,1,1.000000,10.700,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,4.000000,42.80,10.30.03,Combots AG Inhaber-Aktien,,
LU0124427344,,4.20.04,0.87,,EUR,2,1.000000,,|[SBroker (H)],,Payout,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,0.87,4.20.04,DekaStruktur: 3 Wachstum,554002,
DE0005557508,0.00|0.00|0.00,8.13.04,281.33,,EUR,1,1.000000,13.490,|[SBroker (H)],,Kauf,0.00|0.00|0.58|10.95|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,20.000000,281.33,8.13.04,Deutsche Telekom AG Namens-Aktien o.N.,555750,
US5949181045,0.00|0.00|0.00,1.28.05,418.35,,EUR,1,1.000000,20.370,|[SBroker (H)],,Kauf,0.00|0.00|0.00|10.95|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,20.000000,418.35,1.28.05,Microsoft,870747,
US5949181045,,2.15.05,1.20,,EUR,1,1.000000,,|[SBroker (H)],,DivAus,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,1.20,2.15.05,Microsoft,870747,
LU0124427344,,4.20.05,0.66,,EUR,2,1.000000,,|[SBroker (H)],,Payout,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,0.66,4.20.05,DekaStruktur: 3 Wachstum,554002,
DE0005557508,,4.27.05,12.40,,EUR,1,1.000000,,|[SBroker (H)],,DivIn,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,12.40,4.27.05,Deutsche Telekom AG Namens-Aktien o.N.,555750,
